datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-04-03,217,51,27,391,77,78,10,0,7,11,156,42,4
2020-04-04,125,52,17,45,27,8,4,1,0,0,0,0,0
2020-04-05,155,52,24,141,33,50,8,0,1,2,26,0,2
2020-04-06,221,52,17,522,69,153,14,3,17,25,643,699,21
2020-04-07,218,68,18,400,51,127,8,1,10,20,136,32,13
2020-04-08,264,74,23,384,84,78,7,3,5,11,301,61,14
2020-04-09,301,75,21,446,106,101,8,3,3,4,48,14,6
2020-04-10,286,74,20,432,115,87,6,1,7,43,1589,1710,13
2020-04-11,183,52,15,202,54,54,9,1,2,3,86,86,1
2020-04-12,155,46,13,114,46,21,2,0,2,21,519,15,0
2020-04-13,256,77,22,352,82,81,4,0,4,19,1160,583,0
2020-04-14,342,81,19,594,104,146,12,3,16,43,478,261,8
2020-04-15,367,89,31,495,107,92,7,3,8,9,68,20,0
2020-04-16,349,121,19,460,85,74,9,0,7,35,1415,728,5
2020-04-17,325,135,28,442,81,78,7,0,4,46,896,332,8
2020-04-18,191,77,15,134,41,16,3,0,0,0,0,0,0
2020-04-19,156,69,21,93,33,16,4,0,1,34,478,387,0
2020-04-20,266,78,21,457,69,81,6,1,6,15,1467,1378,5
2020-04-21,242,51,22,347,61,64,13,1,7,51,1874,1589,4
2020-04-22,247,65,20,413,110,83,11,3,7,13,367,120,6
2020-04-23,255,64,24,384,83,71,7,0,10,33,1924,416,6
2020-04-24,255,75,20,376,77,87,8,1,5,12,152,126,5
2020-04-25,168,58,25,125,49,21,4,0,0,0,0,0,2
2020-04-26,192,75,20,94,52,19,3,0,0,0,0,0,0
2020-04-27,254,63,17,580,97,172,6,2,17,45,610,284,26
2020-04-28,234,62,15,501,183,96,3,0,3,3,109,85,3
2020-04-29,250,75,19,507,141,166,10,4,3,3,57,15,5
2020-04-30,226,84,14,375,82,72,4,1,3,5,45,26,1
2020-05-01,184,64,16,173,57,32,8,1,1,1,0,1,2
2020-05-02,136,53,12,72,37,16,5,0,2,2,20,18,0
2020-05-03,146,50,18,77,36,19,2,0,1,2,24,23,3
2020-05-04,239,78,27,369,55,92,11,1,11,35,1089,439,11
2020-05-05,273,100,32,388,80,116,7,0,8,12,134,46,6
2020-05-06,256,80,23,310,55,97,12,2,3,18,2101,636,9
2020-05-07,271,86,23,373,78,85,5,1,9,38,995,370,33
2020-05-08,323,96,24,448,112,81,12,2,9,26,693,143,13
2020-05-09,204,80,21,128,53,24,11,0,1,3,24,15,1
2020-05-10,171,61,16,83,47,27,5,1,0,0,0,0,1
2020-05-11,278,80,17,443,112,111,14,1,11,20,1630,2035,11
2020-05-12,252,67,15,397,79,95,15,6,11,39,772,175,25
2020-05-13,292,80,19,394,104,95,7,0,12,22,174,72,6
2020-05-14,260,77,15,367,79,69,11,4,7,22,271,198,11
2020-05-15,298,95,23,285,100,69,3,1,5,14,322,162,5
2020-05-16,158,52,14,105,45,25,2,1,0,0,0,0,0
2020-05-17,151,53,27,78,37,16,2,1,0,0,0,0,2
2020-05-18,235,67,23,322,75,61,4,2,4,11,506,85,6
2020-05-19,263,86,21,299,75,78,12,1,2,12,849,247,3
2020-05-20,263,109,20,266,65,71,8,2,9,25,523,651,19
2020-05-21,221,73,27,192,66,38,4,0,0,0,0,0,0
2020-05-22,191,77,21,113,49,27,2,1,0,0,0,0,3
2020-05-23,164,71,18,102,38,14,2,0,0,0,0,0,0
2020-05-24,128,54,7,65,33,14,0,1,0,0,0,0,1
2020-05-25,211,66,26,210,56,48,3,0,0,0,0,0,1
2020-05-26,248,68,19,461,74,124,4,0,6,9,191,59,12
2020-05-27,254,72,17,368,70,71,5,6,10,109,3967,1829,4
2020-05-28,243,71,23,252,74,42,2,1,4,18,1484,917,0
2020-05-29,243,84,22,252,70,45,6,2,4,19,197,65,0
2020-05-30,154,58,22,93,33,15,3,0,0,0,0,0,0
2020-05-31,168,68,26,172,42,44,2,0,1,3,113,4,0
2020-06-01,203,71,20,257,67,81,5,1,9,35,916,489,2
2020-06-02,257,60,21,559,196,124,3,1,1,4,1,3,5
2020-06-03,253,73,27,517,116,151,6,0,1,1,12,35,1
2020-06-04,252,73,18,434,82,86,3,0,2,3,9,1,1
2020-06-05,252,85,25,340,67,62,16,2,9,17,796,633,20
2020-06-06,138,52,15,65,43,14,3,1,0,0,0,0,3
2020-06-07,123,47,15,49,34,9,2,0,2,13,280,139,1
2020-06-08,233,62,22,357,56,88,8,4,10,17,99,77,9
2020-06-09,223,60,18,741,67,181,8,1,6,17,44,35,10
2020-06-10,138,42,13,197,32,33,4,1,2,4,16,4,4
2020-06-11,289,98,25,437,102,94,9,5,7,19,279,70,7
2020-06-12,309,87,20,439,103,97,16,3,8,19,301,246,15
2020-06-13,167,55,17,117,51,18,7,3,2,4,148,154,3
2020-06-14,151,60,12,90,40,13,5,1,0,0,0,0,1
2020-06-15,250,74,18,403,89,91,8,1,11,54,674,672,19
2020-06-16,264,75,17,404,81,79,16,8,8,37,786,456,9
2020-06-17,259,70,17,314,87,75,6,0,9,18,984,1029,15
2020-06-18,273,83,19,287,91,67,10,1,2,6,43,61,6
2020-06-19,255,99,13,259,74,46,3,1,4,13,709,864,9
2020-06-20,159,45,16,121,55,26,3,0,1,9,249,205,0
2020-06-21,148,64,15,111,38,37,1,1,2,10,4,1,4
2020-06-22,240,52,12,396,83,77,6,3,9,51,2243,1415,1
2020-06-23,260,77,22,338,88,93,5,2,2,5,24,16,29
2020-06-24,272,70,24,412,93,96,7,2,7,52,2967,1711,4
2020-06-25,209,48,19,426,72,105,8,0,7,40,1327,673,11
2020-06-26,218,53,25,332,88,78,6,2,6,11,146,115,14
2020-06-27,113,43,11,68,32,18,1,0,0,0,0,0,0
2020-06-28,141,48,13,149,44,27,3,2,3,5,108,68,1
2020-06-29,202,37,27,337,62,104,7,3,8,10025,2595,7348,6
2020-06-30,251,92,19,359,140,101,1,0,4,8,180,99,0
2020-07-01,237,96,16,435,83,108,4,3,1,2,3,2,2
2020-07-02,262,115,29,309,87,80,2,1,1,1,1,1,0
2020-07-03,200,71,17,219,54,48,9,3,3,7,860,243,0
2020-07-04,125,56,6,70,21,18,3,0,4,9,286,302,1
2020-07-05,148,64,19,70,38,21,2,0,0,0,0,0,0
2020-07-06,190,58,12,307,44,101,13,3,14,17,165,49,0
2020-07-07,202,64,16,307,56,84,8,0,9,15,231,75,0
2020-07-08,219,73,16,305,66,96,5,1,4,7,108,55,8
2020-07-09,234,74,16,276,77,65,7,0,3,7,71,51,6
2020-07-10,290,70,17,408,124,79,9,1,6,16,198,32,17
2020-07-11,228,74,13,219,78,47,1,2,1,1,63,89,13
2020-07-12,196,61,16,217,63,43,0,0,0,0,0,0,9
2020-07-13,266,59,20,469,103,127,20,5,14,29,271,140,20
2020-07-14,271,72,11,360,90,104,10,2,11,16,187,73,18
2020-07-15,293,96,15,278,104,71,3,0,3,4,111,24,5
2020-07-16,294,84,21,386,80,77,8,1,5,7,20,10,4
2020-07-17,336,127,26,328,86,68,14,0,11,29,680,188,0
2020-07-18,181,94,11,84,41,14,1,0,0,0,0,0,0
2020-07-19,144,64,16,87,27,20,1,0,0,0,0,0,2
2020-07-20,227,65,19,247,58,66,11,1,5,13,435,478,3
2020-07-21,247,71,19,304,66,77,5,3,7,45,1322,534,15
2020-07-22,234,68,13,321,71,88,3,0,7,35,1248,433,6
2020-07-23,256,77,14,290,81,53,6,0,5,54,1948,1345,6
2020-07-24,232,59,20,193,72,40,2,1,2,6,10,2,7
2020-07-25,167,67,12,97,42,18,6,0,0,0,0,0,2
2020-07-26,135,43,14,94,38,17,5,0,0,0,0,0,1
2020-07-27,238,61,18,326,59,84,2,0,3,4,7,3,4
2020-07-28,264,87,22,274,78,70,3,2,3,27,721,281,1
2020-07-29,260,92,14,264,68,56,5,0,3,7,48,30,0
2020-07-30,229,61,17,331,64,120,5,2,6,7,255,262,5
2020-07-31,213,67,13,288,64,115,4,2,2,5,11,3,1
2020-08-01,119,33,12,70,28,12,3,1,0,0,0,0,1
2020-08-02,128,52,5,69,33,23,1,0,0,0,0,0,0
2020-08-03,230,71,23,356,80,105,4,2,5,8,68,49,3
2020-08-04,239,77,14,286,125,74,4,1,0,0,0,0,8
2020-08-05,202,56,24,335,113,122,6,0,3,4,11,3,3
2020-08-06,239,68,20,449,70,81,8,0,1,1,2,2,1
2020-08-07,202,61,16,225,63,57,2,1,2,1,8,0,0
2020-08-08,126,50,9,73,33,15,5,0,2,4,169,86,0
2020-08-09,107,48,13,77,22,26,1,0,2,14,77,14,0
2020-08-10,219,66,11,359,60,95,5,1,6,18,210,165,12
2020-08-11,227,76,14,286,52,88,2,2,12,22,320,134,18
2020-08-12,225,65,20,419,62,117,9,3,6,25,458,244,13
2020-08-13,223,73,9,296,70,66,2,0,3,17,133,151,1
2020-08-14,271,90,13,276,88,49,10,1,0,0,0,0,1
2020-08-15,142,42,17,114,31,20,4,1,0,0,0,0,0
2020-08-16,126,56,12,68,31,16,1,0,1,3,0,14,4
2020-08-17,286,75,20,441,96,96,9,1,9,16,54,55,13
2020-08-18,245,57,19,323,73,69,13,3,8,11,125,56,2
2020-08-19,224,59,18,315,63,71,15,3,8,26,922,173,11
2020-08-20,247,70,23,270,69,55,8,1,2,18,937,124,3
2020-08-21,102,28,10,85,23,18,0,0,1,2,1,1,2
2020-08-23,36,13,3,22,9,3,0,0,0,0,0,0,0
2020-08-24,209,67,15,279,53,70,4,0,6,70,4720,68,1
2020-08-25,233,80,27,280,52,93,6,2,5,9,347,19,1
2020-08-26,365,186,26,309,72,66,11,3,8,17,138,74,5
2020-08-27,289,125,22,260,78,61,8,1,5,15,255,160,6
2020-08-28,221,64,24,243,75,86,4,3,6,14,346,203,3
2020-08-29,137,47,16,88,31,25,3,0,0,0,0,0,0
2020-08-30,114,52,10,95,29,16,3,0,5,11,78,30,2
2020-08-31,208,71,16,360,78,100,6,3,12,22,425,147,6
2020-09-01,228,70,14,407,111,117,6,2,5,7,126,42,3
2020-09-02,221,70,15,407,84,105,1,1,2,4,65,18,4
2020-09-03,259,80,25,428,78,101,7,2,2,2,7,4,2
2020-09-04,218,69,19,259,61,56,6,1,1,2,3,1,0
2020-09-05,122,39,15,90,30,25,1,1,1,2,12,22,0
2020-09-06,96,38,18,66,24,28,2,0,1,2,17,17,0
2020-09-07,169,50,24,196,52,34,7,1,12,40,1320,970,4
2020-09-08,201,60,23,313,49,133,7,2,6,35,783,696,3
2020-09-09,203,67,19,259,48,59,4,3,8,25,147,32,4
2020-09-10,204,77,18,291,48,65,10,3,8,32,799,320,5
2020-09-11,284,79,21,367,80,54,8,0,5,29,257,97,3
2020-09-12,176,54,16,132,35,27,2,0,0,0,0,0,0
