datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-04-03,200,46,29,222,23,42,7,3,10,48,1226,173,15
2020-04-04,139,60,18,74,17,18,1,0,1,1,3,1,5
2020-04-05,133,51,19,91,24,11,1,1,0,0,0,0,2
2020-04-06,215,53,25,265,16,32,18,3,10,15,135,32,67
2020-04-07,259,70,38,258,29,16,16,5,17,40,2350,1886,27
2020-04-08,226,41,36,261,28,26,9,5,7,19,779,333,15
2020-04-09,202,56,22,188,25,21,13,1,4,10,289,237,30
2020-04-10,187,39,26,191,28,22,5,1,11,41,582,216,13
2020-04-11,137,51,23,71,16,15,2,2,1,2,240,31,3
2020-04-12,130,48,24,90,13,10,4,1,1,1,7,0,0
2020-04-13,238,60,39,278,24,26,9,4,5,12,205,62,10
2020-04-14,258,70,21,277,34,23,7,6,3,6,213,48,18
2020-04-15,248,68,44,195,19,14,11,4,12,39,870,222,12
2020-04-16,247,59,36,252,26,28,9,3,8,15,600,279,8
2020-04-17,227,53,38,231,30,25,11,2,10,17,98,491,8
2020-04-18,145,51,22,85,12,11,5,1,1,1,207,65,1
2020-04-19,137,45,21,92,16,8,2,2,1,1,1,0,2
2020-04-20,239,62,32,300,26,26,8,4,4,55,618,94,16
2020-04-21,235,60,31,253,37,27,11,3,5,23,737,36,15
2020-04-22,237,44,32,314,35,18,8,8,4,19,591,32,25
2020-04-23,215,44,31,267,24,36,8,3,11,46,1596,436,17
2020-04-24,215,56,19,281,21,25,7,5,5,8,75,23,27
2020-04-25,138,45,23,91,13,9,5,1,1,1,2,2,6
2020-04-26,149,50,36,77,19,5,4,0,0,0,0,0,24
2020-04-27,223,56,38,244,32,22,9,2,4,23,166,43,9
2020-04-28,258,52,40,291,27,29,11,5,7,13,95,50,8
2020-04-29,238,52,29,260,30,20,13,4,11,22,1107,203,18
2020-04-30,186,54,26,191,16,31,3,0,5,14,523,205,8
2020-05-01,172,44,26,132,22,13,6,1,5,13,69,76,30
2020-05-02,110,36,14,66,11,4,4,0,0,0,0,0,1
2020-05-03,134,50,25,90,16,10,11,4,0,0,0,0,9
2020-05-04,229,50,33,311,25,38,13,6,4,12,90,28,24
2020-05-05,177,42,16,238,19,27,13,9,12,29,252,156,8
2020-05-06,216,70,24,219,29,35,8,1,6,26,983,85,12
2020-05-07,234,57,23,246,30,20,14,3,7,13,205,197,33
2020-05-08,222,57,41,218,32,24,13,5,5,12,312,106,57
2020-05-09,142,45,20,79,23,6,9,2,7,10,81,40,1
2020-05-10,145,52,25,77,23,5,4,6,12,14,240,98,1
2020-05-11,245,74,32,212,31,24,12,6,10,25,217,102,10
2020-05-12,252,73,27,276,32,16,11,5,11,22,314,313,31
2020-05-13,261,70,38,263,36,28,11,1,8,19,1521,25,41
2020-05-14,224,61,28,259,30,28,11,4,9,22,207,62,18
2020-05-15,217,51,28,269,22,36,5,3,3,7,82,11,21
2020-05-16,111,37,19,66,16,9,2,0,1,5,555,85,1
2020-05-17,131,40,28,101,19,16,2,0,0,0,0,0,0
2020-05-18,234,61,24,263,26,33,5,3,5,16,93,15,24
2020-05-19,243,60,40,255,28,19,4,3,0,0,0,0,31
2020-05-20,228,57,29,240,30,25,12,2,5,11,411,363,38
2020-05-21,230,67,28,212,25,31,8,1,2,28,522,59,32
2020-05-22,173,57,17,166,23,19,4,2,6,10,214,131,22
2020-05-23,119,47,10,62,27,10,4,0,0,0,0,0,2
2020-05-24,119,55,15,54,12,7,1,0,0,0,0,0,34
2020-05-25,187,66,46,106,15,7,5,1,1,1,1,1,11
2020-05-26,206,50,34,225,26,21,8,3,8,16,283,161,33
2020-05-27,221,71,23,239,20,19,11,6,11,15,643,258,28
2020-05-28,215,41,34,252,28,32,16,8,11,19,466,283,20
2020-05-29,213,55,34,192,28,16,6,2,10,22,22623,110,8
2020-05-30,118,49,19,61,4,5,5,0,1,4,3341,18,4
2020-05-31,138,48,25,79,14,4,5,2,2,2,17,13,6
2020-06-01,208,54,30,226,25,20,7,0,7,11,67,21,17
2020-06-02,237,58,35,302,20,23,14,8,8,23,1385,40,26
2020-06-03,231,58,27,248,21,28,9,5,14,35,630,252,38
2020-06-04,218,52,22,241,31,30,5,1,5,10,395,220,19
2020-06-05,222,53,26,318,24,34,17,3,7,13,392,357,33
2020-06-06,131,41,20,103,14,9,3,1,1,8,16,14,4
2020-06-07,128,37,25,81,20,3,5,0,0,0,0,0,6
2020-06-08,246,47,36,320,26,43,12,3,9,13,249,192,38
2020-06-09,248,56,25,307,28,27,17,5,15,45,1006,573,41
2020-06-10,126,25,14,116,14,7,1,0,0,0,0,0,31
2020-06-11,203,48,18,266,19,31,6,4,5,9,71,6,21
2020-06-12,218,68,30,256,24,39,4,1,5,24,76,281,23
2020-06-13,121,33,17,95,16,3,0,0,0,0,0,0,14
2020-06-14,116,43,23,55,18,9,4,0,0,0,0,0,11
2020-06-15,240,55,33,278,20,20,12,3,5,31,1106,166,26
2020-06-16,224,62,27,291,28,26,5,1,8,12,187,18,20
2020-06-17,234,56,35,234,19,21,9,1,10,59,877,282,37
2020-06-18,220,42,31,229,28,29,13,2,7,10,295,96,49
2020-06-19,201,50,35,237,18,45,10,3,12,102,2546,966,68
2020-06-20,116,38,23,99,13,11,1,2,1,1,31,3,3
2020-06-21,110,39,25,46,8,2,4,0,0,0,0,0,0
2020-06-22,214,44,25,279,29,42,12,6,7,10,234,98,26
2020-06-23,250,53,27,306,26,31,19,5,12,20,570,302,65
2020-06-24,216,37,35,248,22,27,21,5,10,36,453,217,29
2020-06-25,189,41,23,194,20,26,11,5,8,15,805,143,23
2020-06-26,201,39,26,218,30,25,12,10,9,35,327,129,38
2020-06-27,107,35,12,63,13,4,3,1,0,0,0,0,4
2020-06-28,142,49,17,73,23,5,8,2,0,0,0,0,3
2020-06-29,192,48,29,208,17,28,3,1,7,49,1152,106,26
2020-06-30,202,46,28,204,25,21,13,2,8,44,1329,518,52
2020-07-01,243,66,29,247,30,21,19,9,5,26,218,146,15
2020-07-02,212,53,23,214,27,15,9,3,4,6,331,46,15
2020-07-03,166,46,25,176,18,14,9,1,0,0,0,0,26
2020-07-04,108,33,15,73,14,11,3,1,0,0,0,0,5
2020-07-05,95,31,11,48,23,4,2,0,0,0,0,0,2
2020-07-06,202,47,27,222,23,21,4,2,13,58,1150,203,44
2020-07-07,220,56,24,210,21,20,14,3,7,9,366,35,56
2020-07-08,238,45,36,263,26,27,15,7,9,27,940,210,38
2020-07-09,231,41,35,283,27,22,10,1,10,42,1227,70,73
2020-07-10,183,41,18,197,27,17,15,2,10,30,1074,659,96
2020-07-11,127,44,19,87,10,9,2,1,1,1,9,0,4
2020-07-12,110,38,14,79,18,13,0,1,0,0,0,0,16
2020-07-13,200,37,25,223,18,31,13,2,8,41,692,362,82
2020-07-14,227,44,17,266,26,28,11,2,11,35,1749,115,87
2020-07-15,221,43,26,249,22,21,14,5,7,35,461,396,72
2020-07-16,228,54,26,228,27,18,15,0,8,61,1893,153,45
2020-07-17,204,44,20,246,26,20,14,2,19,48,1632,827,74
2020-07-18,111,45,16,83,15,6,4,0,1,1,5,5,3
2020-07-19,89,40,12,57,6,9,0,0,1,1,13,0,10
2020-07-20,176,36,18,237,21,26,8,7,14,47,3255,667,40
2020-07-21,233,67,30,197,30,19,15,6,9,29,706,107,24
2020-07-22,238,73,21,247,17,26,10,1,7,24,1947,695,41
2020-07-23,214,53,29,209,28,24,14,2,12,60,2209,96,33
2020-07-24,212,62,24,197,19,17,12,2,16,26,4477,222,24
2020-07-25,119,34,18,75,11,6,9,1,1,1,2,2,7
2020-07-26,93,32,24,49,10,4,10,0,1,3,12,7,6
2020-07-27,206,49,21,222,27,29,9,1,7,36,478,14,41
