datetime,participate,Star,Fork,IssueComment,OpenIssue,ClosedIssue,PROpen,PRdeclined,PRMerged,commits,CodeAddedLines,CodeDeletedLines,PRReviewComment
2020-04-02,53,15,2,168,11,8,25,4,15,67,543,170,44
2020-04-03,61,18,4,167,10,6,33,6,20,66,1237,576,22
2020-04-04,20,8,2,61,1,3,11,3,14,56,415,698,8
2020-04-05,17,9,2,10,2,1,1,0,3,3,6,0,0
2020-04-06,14,5,0,27,1,1,2,0,0,0,0,0,0
2020-04-07,54,12,4,300,15,2,29,5,11,44,565,162,50
2020-04-08,57,11,4,434,14,12,66,8,33,216,2559,624,42
2020-04-09,60,17,4,287,12,6,39,5,33,159,2129,423,34
2020-04-10,47,10,5,144,7,7,26,4,18,85,926,214,27
2020-04-11,22,11,4,26,1,10,1,0,4,12,381,41,1
2020-04-12,23,16,1,11,0,0,1,0,1,2,1,1,0
2020-04-13,60,21,5,205,8,2,25,12,16,83,377,81,34
2020-04-14,56,14,2,275,18,8,27,1,32,130,1484,405,31
2020-04-15,63,18,4,424,17,20,49,8,66,337,7005,2941,37
2020-04-16,52,12,3,271,12,9,40,3,15,63,691,195,26
2020-04-17,54,16,1,332,13,16,54,4,33,277,2441,743,15
2020-04-18,24,11,3,29,8,4,2,2,1,2,283,1,0
2020-04-19,30,15,0,30,1,0,7,1,0,0,0,0,0
2020-04-20,55,13,1,265,22,12,40,1,22,88,1744,408,29
2020-04-21,55,11,5,181,9,13,28,6,13,53,285,84,53
2020-04-22,62,13,5,420,10,11,46,9,50,282,2941,1154,35
2020-04-23,53,9,2,341,8,5,31,7,47,255,3542,2012,57
2020-04-24,52,12,5,203,9,8,27,3,30,129,2359,870,40
2020-04-25,20,9,0,21,3,1,3,0,3,10,87,22,0
2020-04-26,51,14,5,141,10,4,19,4,17,59,1680,422,10
2020-04-27,54,24,2,125,4,4,21,6,17,64,2465,557,24
2020-04-28,62,17,6,204,13,5,36,6,23,88,1361,430,23
2020-04-29,42,13,3,130,6,4,12,6,20,68,2092,494,36
2020-04-30,44,12,1,261,8,6,14,3,23,126,2635,604,25
2020-05-01,20,8,1,18,0,1,1,1,1,23,78,271,3
2020-05-02,19,11,3,12,0,0,2,0,0,0,0,0,0
2020-05-03,16,9,0,18,0,1,2,0,1,3,24,4,0
2020-05-04,21,14,0,15,2,0,0,0,2,4,54,18,0
2020-05-05,14,6,2,20,0,0,0,1,1,4,182,58,0
2020-05-06,60,13,1,151,7,10,22,0,15,89,2818,354,23
2020-05-07,44,6,1,131,9,3,18,0,17,80,1317,186,38
2020-05-08,50,10,3,134,7,6,16,3,13,77,1877,145,36
2020-05-09,55,17,1,124,8,7,15,1,15,69,1051,298,42
2020-05-10,19,9,2,14,1,0,3,0,0,0,0,0,1
2020-05-11,57,16,0,133,11,3,15,0,11,48,579,42,26
2020-05-12,76,29,1,208,16,16,30,2,24,96,1660,450,42
2020-05-13,68,22,4,209,8,8,27,3,20,148,1853,375,48
2020-05-14,56,12,3,317,15,3,28,3,23,110,1857,597,45
2020-05-15,49,21,2,176,7,7,15,6,9,66,379,149,7
2020-05-16,11,4,1,5,0,1,1,0,0,0,0,0,1
2020-05-17,8,4,1,1,0,0,1,0,0,0,0,0,2
2020-05-18,48,10,2,154,8,4,17,0,14,63,1730,651,22
2020-05-19,58,18,2,129,9,1,16,1,11,38,226,87,25
2020-05-20,35,10,1,153,2,3,25,2,21,128,1458,357,39
2020-05-21,59,26,2,162,6,5,13,3,12,58,1221,230,24
